City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Meulaboh,ID,76.66,few clouds,4.1363,96.1285,Kost Pria
7,Kaura Namoda,NG,77.13,scattered clouds,12.5898,6.5779,Moonlight Hotel
14,Waingapu,ID,77.45,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
25,Banda Aceh,ID,79.54,clear sky,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
29,Salinopolis,BR,77.16,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
30,Grand Gaube,MU,75.6,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
34,Rikitea,PF,78.21,broken clouds,-23.1203,-134.9692,People ThankYou
36,Santa Rosalia,MX,77.5,broken clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
37,Carnarvon,AU,71.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
38,Manggar,ID,79.77,broken clouds,-2.8833,108.2667,Guest Hotel
39,Wamba,NG,77.95,few clouds,8.9333,8.6,Roma Zee Guest House Annex
41,Mae Hong Son,TH,74.35,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
49,Port Alfred,ZA,73.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
50,Sonari,IN,72.57,broken clouds,27.0667,95.0333,Hotel Green View
55,Atuona,PF,79.79,overcast clouds,-9.8,-139.0333,Villa Enata
58,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
67,Ahipara,NZ,70.05,clear sky,-35.1667,173.1667,Ahipara Holiday Park
83,Inongo,CD,73.02,overcast clouds,-1.95,18.2667,Hotel Du Lac
86,Burla,IN,72.59,clear sky,21.5,83.8667,VSSUT Guest House
89,Sawakin,SD,72.28,few clouds,19.1059,37.3321,فندق الدويم
98,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
106,Padang,ID,74.82,clear sky,-0.9492,100.3543,Mercure Padang
108,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
112,Qui Nhon,VN,75.38,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
116,Saint-Pierre,RE,78.48,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
120,Bengkulu,ID,73.92,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
129,Mar Del Plata,AR,78.82,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
130,Lagoa Formosa,BR,73.02,scattered clouds,-18.7786,-46.4075,Lagoa Hotel
131,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
140,Mana,GF,77.2,overcast clouds,5.6592,-53.7767,LE SAMANA
143,Port Elizabeth,ZA,70.11,clear sky,-33.918,25.5701,39 On Nile Guest House
145,Rawson,AR,71.46,few clouds,-43.3002,-65.1023,Hosteria Sampedro
148,Santa Isabel,BR,74.5,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
