City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Meulaboh,ID,4.1363,96.1285,76.66,87,22,3.6,few clouds
1,Punta Arenas,CL,-53.15,-70.9167,44.71,87,75,9.22,shower rain
2,Pemberton,CA,50.3164,-122.8027,53.29,97,96,2.21,overcast clouds
3,Hithadhoo,MV,-0.6,73.0833,81.16,65,58,6.22,broken clouds
4,Torbay,CA,47.6666,-52.7314,43.57,83,75,10.36,broken clouds
5,Pangnirtung,CA,66.1451,-65.7125,14.0,79,20,3.44,few clouds
6,Busselton,AU,-33.65,115.3333,62.96,80,99,15.59,overcast clouds
7,Kaura Namoda,NG,12.5898,6.5779,77.13,6,28,9.93,scattered clouds
8,Provideniya,RU,64.3833,-173.3,15.91,73,0,8.99,clear sky
9,Nemuro,JP,43.3236,145.575,33.49,80,7,12.03,clear sky
10,Orange Cove,US,36.6244,-119.3137,63.77,59,94,5.57,overcast clouds
11,Takoradi,GH,4.8845,-1.7554,81.46,86,100,9.44,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,64.83,71,99,9.57,overcast clouds
13,Cape Town,ZA,-33.9258,18.4232,65.26,71,75,13.8,broken clouds
14,Waingapu,ID,-9.6567,120.2641,77.45,77,96,3.13,overcast clouds
15,Surazh,RU,53.0175,32.3918,45.46,61,62,20.02,broken clouds
16,New Norfolk,AU,-42.7826,147.0587,58.71,73,76,2.04,broken clouds
17,Verkh-Usugli,RU,52.7,115.1667,-2.51,90,5,4.5,clear sky
18,Djibo,BF,14.1022,-1.6306,85.03,6,0,10.02,clear sky
19,Georgetown,MY,5.4112,100.3354,80.53,93,40,0.0,thunderstorm
20,Norman Wells,CA,65.282,-126.8329,10.44,61,75,3.44,broken clouds
21,Avarua,CK,-21.2078,-159.775,84.25,74,99,11.5,overcast clouds
22,Beringovskiy,RU,63.05,179.3167,-0.2,92,100,6.87,overcast clouds
23,Camacha,PT,33.0833,-16.3333,58.42,77,20,8.05,few clouds
24,Clyde River,CA,70.4692,-68.5914,1.63,85,40,20.71,scattered clouds
25,Banda Aceh,ID,5.5577,95.3222,79.54,80,5,3.65,clear sky
26,Bluff,NZ,-46.6,168.3333,59.83,83,100,6.58,overcast clouds
27,Jacqueville,CI,5.2052,-4.4146,81.39,88,99,11.41,overcast clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,85.96,78,93,11.72,light rain
29,Salinopolis,BR,-0.6136,-47.3561,77.16,92,100,12.26,moderate rain
30,Grand Gaube,MU,-20.0064,57.6608,75.6,81,19,1.99,few clouds
31,Komsomolskiy,UZ,40.4272,71.7189,50.72,71,100,4.61,overcast clouds
32,Skibbereen,IE,51.55,-9.2667,46.11,87,10,6.6,clear sky
33,Mount Gambier,AU,-37.8333,140.7667,51.71,100,100,3.44,overcast clouds
34,Rikitea,PF,-23.1203,-134.9692,78.21,69,77,4.81,broken clouds
35,Albany,US,42.6001,-73.9662,22.95,47,100,5.01,overcast clouds
36,Santa Rosalia,MX,27.3167,-112.2833,77.5,26,84,1.74,broken clouds
37,Carnarvon,AU,-24.8667,113.6333,71.67,94,42,12.66,scattered clouds
38,Manggar,ID,-2.8833,108.2667,79.77,83,63,5.68,broken clouds
39,Wamba,NG,8.9333,8.6,77.95,13,13,5.99,few clouds
40,Severo-Kurilsk,RU,50.6789,156.125,28.17,85,100,40.65,light snow
41,Mae Hong Son,TH,19.3003,97.9685,74.35,63,87,1.01,overcast clouds
42,Taquari,BR,-29.7997,-51.8644,68.31,67,0,6.98,clear sky
43,Vaini,TO,-21.2,-175.2,80.76,83,75,11.5,broken clouds
44,Kungurtug,RU,50.5994,97.5228,9.45,97,99,1.23,overcast clouds
45,Mataura,NZ,-46.1927,168.8643,59.76,82,100,0.67,overcast clouds
46,Kahului,US,20.8947,-156.47,84.22,56,20,10.36,few clouds
47,Olafsvik,IS,64.8945,-23.7142,34.2,81,100,16.26,overcast clouds
48,Cabo San Lucas,MX,22.8909,-109.9124,84.61,44,4,9.44,clear sky
49,Port Alfred,ZA,-33.5906,26.891,73.18,70,86,1.99,overcast clouds
50,Sonari,IN,27.0667,95.0333,72.57,53,81,1.81,broken clouds
51,Haines Junction,CA,60.7522,-137.5108,37.35,44,100,2.3,overcast clouds
52,Andenes,NO,69.3143,16.1194,26.92,86,40,4.61,light snow
53,Taksimo,RU,56.3444,114.8794,3.79,87,72,5.37,broken clouds
54,Pevek,RU,69.7008,170.3133,-14.69,90,22,1.48,few clouds
55,Atuona,PF,-9.8,-139.0333,79.79,74,100,15.05,overcast clouds
56,Isfara,TJ,40.1265,70.6253,51.37,52,90,1.01,overcast clouds
57,Novomoskovsk,RU,54.0105,38.2846,38.84,91,100,22.3,light rain
58,San Cristobal,VE,7.7669,-72.225,75.38,50,85,4.09,overcast clouds
59,Jamestown,US,42.097,-79.2353,19.71,60,100,11.01,overcast clouds
60,Omsukchan,RU,62.5333,155.8,4.03,93,100,9.17,overcast clouds
61,Sapernoye,RU,60.7167,29.9505,21.65,92,100,9.08,overcast clouds
62,Yellowknife,CA,62.456,-114.3525,20.41,68,20,4.61,few clouds
63,Ostrovnoy,RU,68.0531,39.5131,21.78,90,100,16.51,light snow
64,Providencia,MX,28.7167,-111.5833,87.21,41,100,15.97,overcast clouds
65,Manzanillo,CU,20.3433,-77.1167,83.84,37,2,19.51,clear sky
66,Castro,BR,-24.7911,-50.0119,65.79,87,14,5.37,few clouds
67,Ahipara,NZ,-35.1667,173.1667,70.05,64,2,7.56,clear sky
68,East London,ZA,-33.0153,27.9116,80.37,45,80,7.47,broken clouds
